cui,cue,nombre_escuela,nombre_utm,perido,modelo,mac_address,ip_publica,latitud,longitud,direccion,bw_gb,clientes,wan_appliances,wan_carrier,access_points,bw_educacion,bw_web,bw_streaming,bw_calls,bw_socialmedia,bw_updates,bw_otros
1408599,140112100,JOSE HERNANDEZ-ACHIRAS,UTM - ACHIRAS,mar-26,MX68,6c:c3:b2:4e:df:48,148.222.194.153,-3.199.754.307,-65.037.557.739,"-31.9975430700,	-65.0375577390","14,31",158,1,Starlink,2,"4,01","3,15","2,58","1,72","1,14","1,00","0,72"
1408214,140029800,DOMINGO FAUSTINO SARMIENTO-AGUA DE CRESPIN,UTM - AGUA DE CRESPIN,mar-26,MX68,6c:ef:bd:cb:a0:f6,148.222.194.153,-310.893.001,-650.484.771,"-31.0893001, -65.0484771","24,04",98,1,Starlink,2,"6,73","5,29","4,33","2,88","1,92","1,68","1,20"
1409534,140379900,FLORENCIO FRIAS-AGUA DE LAS PIEDRAS,UTM - AGUA DE LAS PIEDRAS,mar-26,MX68,08:f1:b3:7a:79:c5,148.222.194.153,-308.179,-642.122,"-30.8179,-64.2122","1,32",32,1,Starlink,2,"0,37","0,29","0,24","0,16","0,11","0,09","0,07"
1409825,140540901,I.P.E.M. N 367 - ANEXO EL ALGODONAL-AGUA DE ORO,UTM - AGUA DE ORO,mar-26,MX68,6c:c3:b2:4e:e0:5b,148.222.222.215,-310.622,-643.101,"-31.0622,-64.3101","39,69",337,1,Starlink,2,"11,11","8,73","7,14","4,76","3,18","2,78","1,98"
1407177,140080400,JUAN MARTIN DE PUEYRREDON-AGUA DEL MOLLE,UTM - AGUA DEL MOLLE,mar-26,MX68,e4:55:a8:8f:04:a3,148.222.222.215,-3.064.331,-6.449.881,47XQ9G42+MF,"41,38",95,1,Starlink,2,"11,59","9,10","7,45","4,97","3,31","2,90","2,07"
1408872,140175800,ROSARIO VERA PEÃ‘ALOZA-AGUAS DE RAMON,UTM - AGUAS DE RAMON,mar-26,MX68,08:f1:b3:7a:8e:8a,148.222.222.215,-3.084.970.027,-653.650.903.792,"-30.8497002700,	-65.3650903792","61,11",116,1,Starlink,2,"17,11","13,44","11,00","7,33","4,89","4,28","3,06"
1409046,140213400,PAULO VI-ALEJO LEDESMA,UTM - ALEJO LEDESMA ,mar-26,MX68,6c:c3:b2:62:1e:b8,143.105.136.177,-337.166,-627.055,"-33.7166,-62.7055","12,28",59,1,Starlink,2,"3,44","2,70","2,21","1,47","0,98","0,86","0,61"
1464950,140230303,ESCUELA NOCTURNA GENERAL GUEMES ANEXO EXTENSION AULICA VALLE ALEGRE-ALTA GRACIA,UTM - ALTA GRACIA - GENERAL GUEMES,mar-26,MX68,6c:c3:b2:62:1e:94,143.105.136.177,-3.160.764,-6.444.452,"9HR4+W5X Alta Gracia, CÃ³rdoba","523,21",546,1,Starlink,2,"146,50","115,11","94,18","62,79","41,86","36,62","26,16"
1408263,140037900,MIGUEL DE AZCUENAGA-ALTAUTINA,UTM - ALTAUTINA,mar-26,MX68,08:f1:b3:7c:b6:e3,143.105.136.177,-3.179.056.275,-651.671.018.711,"-31.7905627500,	-65.1671018711","23,20",48,1,Starlink,2,"6,50","5,10","4,18","2,78","1,86","1,62","1,16"
1408993,140196900,JUAN MANTOVANI-ALTO DE LOS QUEBRACHOS,UTM - ALTO DE LOS QUEBRACHOS,mar-26,MX68,6c:c3:b2:4e:e3:f1,74.244.135.31,-305.442,-650.343,"-30.5442,-65.0343","40,99",168,1,Starlink,6,"11,48","9,02","7,38","4,92","3,28","2,87","2,05"
